city,lat,lng,country,iso2,admin_name,capital,population,population_proper,elevation
Madurai,9.9197,78.1194,India,IN,Tamil Nādu,minor,1561129.0,1561129.0,142
Jamshedpur,22.8,86.1833,India,IN,Jharkhand,,1558000.0,1558000.0,170
Nāsik,20.0,73.7833,India,IN,Mahārāshtra,,1486053.0,1486053.0,586
Farīdābād,28.4333,77.3167,India,IN,Haryāna,,1394000.0,1394000.0,206
Aurangābād,19.88,75.32,India,IN,Mahārāshtra,,1371330.0,1371330.0,561
Rājkot,22.2969,70.7984,India,IN,Gujarāt,,1335397.0,1335397.0,135
Meerut,28.99,77.7,India,IN,Uttar Pradesh,,1305429.0,1305429.0,226
Jabalpur,23.1667,79.9333,India,IN,Madhya Pradesh,,1267564.0,1267564.0,404
Thāne,19.18,72.9633,India,IN,Mahārāshtra,,1261517.0,1261517.0,14
Dhanbād,23.7928,86.435,India,IN,Jharkhand,,1246000.0,219636.0,245
Allahābād,25.455,81.84,India,IN,Uttar Pradesh,,1201000.0,1073438.0,101
Vārānasi,25.3189,83.0128,India,IN,Uttar Pradesh,,1198491.0,1198491.0,77
Srīnagar,34.0911,74.8061,India,IN,Jammu and Kashmīr,admin,1180570.0,1180570.0,1596
Amritsar,31.6167,74.85,India,IN,Punjab,,1132383.0,1132383.0,228
Alīgarh,27.88,78.08,India,IN,Uttar Pradesh,,1131160.0,1131160.0,190
Bhiwandi,19.3,73.0667,India,IN,Mahārāshtra,,1125898.0,1125898.0,17
Gwalior,26.215,78.1931,India,IN,Madhya Pradesh,,1101981.0,1101981.0,209
Bhilai,21.2167,81.4333,India,IN,Chhattīsgarh,,1097000.0,1097000.0,295
Hāora,22.59,88.31,India,IN,West Bengal,,1077075.0,1077075.0,7
Rānchi,23.3556,85.3347,India,IN,Jharkhand,admin,1073440.0,1073440.0,645
Bezwāda,16.5167,80.6167,India,IN,Andhra Pradesh,,1048240.0,1048240.0,26
Chandīgarh,30.7353,76.7911,India,IN,Chandīgarh,admin,1026459.0,1026459.0,347
Mysore,12.3086,76.6531,India,IN,Karnātaka,,1014227.0,1014227.0,747
Raipur,21.2379,81.6337,India,IN,Chhattīsgarh,admin,1010087.0,1010087.0,312
Kota,25.18,75.83,India,IN,Rājasthān,,1001694.0,1001694.0,229
Bareilly,28.364,79.415,India,IN,Uttar Pradesh,,1000000.0,1000000.0,179
Jodhpur,26.2918,73.0168,India,IN,Rājasthān,,995000.0,921476.0,257
Coimbatore,11.0,76.9667,India,IN,Tamil Nādu,,959823.0,959823.0,419
Dispur,26.15,91.77,India,IN,Assam,admin,957352.0,957352.0,131
Guwāhāti,26.1667,91.7667,India,IN,Assam,,957352.0,957352.0,56
Solāpur,17.6833,75.9167,India,IN,Mahārāshtra,,951558.0,951558.0,473
Trichinopoly,10.8269,78.6928,India,IN,Tamil Nādu,,916857.0,916857.0,74
Hubli,15.36,75.125,India,IN,Karnātaka,,890000.0,792804.0,626
Jalandhar,31.3256,75.5792,India,IN,Punjab,,873725.0,873725.0,241
Bhubaneshwar,20.2644,85.8281,India,IN,Odisha,admin,837737.0,837737.0,54
