Accession,lat,lng
Acc_0616,5.244233,-72.625361
Acc_0617,5.244233,-72.625361
Acc_0618,5.242353,-72.625931
Acc_0619,5.213917,-72.596636
Acc_0620,5.242353,-72.625931
Acc_0621,5.242353,-72.625931
Acc_0622,5.244233,-72.625361
Acc_0623,5.244233,-72.625361
Acc_0624,5.214797,-72.596942
Acc_0625,5.214797,-72.596942
Acc_0626,5.214797,-72.596942
Acc_0627,5.214797,-72.596942
Acc_0628,5.214797,-72.596942
Acc_0629,5.214797,-72.596942
Acc_0630,5.214797,-72.596942
Acc_0631,5.214797,-72.596942
Acc_0632,3.53103,-73.422022
Acc_0633,3.531399,-73.421926
Acc_0634,3.531155,-73.421438
Acc_0635,3.531155,-73.421438
Acc_0636,3.530926,-73.421688
Acc_0637,3.933992,-76.204505
Acc_0638,1.050278,-78.2725
Acc_0639,10.752932,-85.381152
Acc_0640,-10.701389,-63.633056
Acc_0641,-9.139722,-68.946944
Acc_0642,4.726389,-75.581389
Acc_0643,5.893333,-74.853611
Acc_0644,5.912833,-73.467361
Acc_0645,14.522925,-91.136243
Acc_0646,-0.827778,-77.563611
Acc_0647,-10.671667,-75.315
Acc_0648,17.21636,-92.2573
Acc_0649,17.72658,-101.561
Acc_0650,17.77806,-96.0533
Acc_0651,14.3425,-90.7156
Acc_0652,18.65308,-97.00283
Acc_0653,14.92222,-89.82222
Acc_0654,16.20086,-91.3068
Acc_0655,18.89444,-97.0375
Acc_0656,15.99222,-93.44722
Acc_0657,19.58111,-96.80194
Acc_0658,16.04833,-93.43833
Acc_0659,18.89444,-97.0375
Acc_0660,19.9,-90.367
Acc_0661,16.945,-93.17528
Acc_0662,18.32694,-94.82944
Acc_0663,17.1,-89.067
Acc_0664,19.785,-90.50528
Acc_0665,16.80139,-91.09611
Acc_0666,17.0071,-93.2372
Acc_0667,16.81917,-93.07361
Acc_0668,15.94417,-93.3675
Acc_0669,19.99167,-90.13083
Acc_0670,17.15167,-95.04528
Acc_0671,16.74267,-94.97931
Acc_0672,19.375,-96.925
Acc_0673,17.02806,-91.28222
Acc_0674,18.78056,-96.9144
Acc_0675,16.81417,-91.06083
Acc_0676,18.00175,-96.63369
Acc_0677,16.70528,-95.00472
Acc_0678,16.82917,-91.05361
Acc_0679,16.78883,-90.92678
Acc_0680,18.03867,-101.036
Acc_0681,16.793,-93.179
Acc_0682,16.86472,-91.26056
Acc_0683,17.99667,-89.36889
Acc_0684,17.38006,-95.16417
Acc_0685,16.69806,-95.03972
Acc_0686,16.79606,-90.86967
Acc_0687,20.4021,-105.309
Acc_0688,20.17694,-89.6525
Acc_0689,15.97697,-96.12475
Acc_0690,19.80317,-90.4439
Acc_0691,16.80806,-91.08444
Acc_0692,13.89911,-89.6949
Acc_0693,10.94167,-85.717
Acc_0694,16.76722,-91.10722
Acc_0695,15.73778,-96.15417
Acc_0696,15.75128,-96.14122
Acc_0697,19.55222,-96.74917
Acc_0698,16.45025,-95.99553
Acc_0699,16.64167,-94.94722
Acc_0700,16.79819,-90.88131
Acc_0701,15.71603,-96.20775
Acc_0702,15.71306,-96.18194
Acc_0703,16.67222,-95.0175
Acc_0704,16.80556,-90.864
Acc_0705,15.70025,-96.22222
Acc_0706,13.817,-89.983
Acc_0707,16.81103,-90.87019
Acc_0708,19.17944,-89.18778
Acc_0709,16.76611,-91.12222
Acc_0710,16.80694,-91.09611
Acc_0711,17.133,-97.867
Acc_0712,19.69128,-89.11014
Acc_0713,19.72722,-89.16611
Acc_0714,16.80111,-91.11361
Acc_0715,16.78917,-91.10861
Acc_0716,16.87572,-94.92561
Acc_0717,16.11167,-95.71056
Acc_0718,15.92522,-96.79847
Acc_0719,19.98889,-90.15083
Acc_0720,15.99731,-96.11361
Acc_0721,16.98472,-91.58444
Acc_0722,17.00194,-91.2925
Acc_0723,16.80361,-91.1025
Acc_0724,19.31861,-88.84389
Acc_0725,19.6,-88.4
Acc_0726,18.00906,-96.62142
Acc_0727,16.80028,-91.02111
Acc_0728,16.78917,-91.10833
Acc_0729,16.77861,-91.10194
Acc_0730,16.68444,-95.01556
Acc_0731,16.81361,-91.06778
Acc_0732,15.97825,-96.10022
Acc_0733,17.98994,-96.6475
Acc_0734,16.38333,-93.97083
Acc_0735,16.44806,-94.08639
Acc_0736,16.28639,-93.83028
Acc_0737,16.842,-93.12181
Acc_0738,20.45,-88.9
Acc_0739,16.79722,-91.10139
Acc_0740,16.99611,-91.2975
Acc_0741,19.89472,-88.0275
Acc_0742,16.77389,-91.10722
Acc_0743,16.84028,-91.14222
Acc_0744,16.4147,-94.0375
Acc_0745,19.81667,-90.16944
Acc_0746,19.60806,-89.16056
Acc_0747,16.78028,-91.25417
Acc_0748,16.80389,-91.08861
Acc_0749,18.5,-91.1
Acc_0750,20.333,-90.15
Acc_0751,19.783,-90.6
Acc_0752,17.02673,-93.18014
Acc_0753,16.78556,-91.10528
Acc_0754,15.92311,-96.07083
Acc_0755,20.15833,-88.89167
Acc_0756,16.81594,-90.86672
Acc_0757,16.80314,-90.87436
Acc_0758,19.80317,-90.4439
Acc_0759,16.81222,-91.05361
Acc_0760,16.76472,-91.12944
Acc_0761,16.74358,-94.97986
Acc_0762,16.93194,-91.26194
Acc_0763,20.55889,-88.99639
Acc_0764,18.567,-95.117
Acc_0765,16.98111,-91.26611
Acc_0766,19.70833,-90.525
Acc_0767,21.067,-89.4
Acc_0768,17.29806,-99.46722
Acc_0769,20.167,-89.633
Acc_0770,15.74061,-96.22483
Acc_0771,18.517,-95.15
Acc_0772,15.643,-92.67258
Acc_0773,17.16,-91.27
Acc_0774,15.99219,-96.12094
Acc_0775,17.97942,-96.75044
Acc_0776,18.14547,-96.36111
Acc_0777,17.91361,-89.31861
Acc_0778,16.74386,-94.97667
Acc_0779,17.035,-91.19306
